user,name,exercise_type,session_start,session_end,date,location,workout_time,distance,avg_speed,active_calories,total_calories,elevation_gain,average_heart_rate
david,Outdoor Walk,walking_outside,2024-12-31 21:01:00,2024-12-31 21:44:00,2024-12-31,Córdoba,0:43:23,2.85,,265,377,9,126
david,Indoor Cycle,cycling_treadmill,2024-12-30 18:27:00,2024-12-30 18:37:00,2024-12-30,Córdoba,0:10:02,,,74,100,,126
david,Outdoor Cycle,cycling_outside,2024-08-20 21:29:00,2024-08-20 22:07:00,2024-08-20,Córdoba,0:37:58,8.80,13.9,222,312,15,116
david,Indoor Cycle,cycling_treadmill,2024-12-29 18:13:00,2024-12-29 18:24:00,2024-12-29,Córdoba,0:10:09,,,81,107,,125
david,Indoor Cycle,cycling_treadmill,2024-12-23 19:53:00,2024-12-23 20:03:00,2024-12-23,Córdoba,0:10:05,,,86,112,,128
david,Outdoor Walk,walking_outside,2024-12-24 20:46:00,2024-12-24 21:18:00,2024-12-24,Córdoba,0:31:33,2.41,,217,299,,129
david,Outdoor Walk,walking_outside,2024-12-24 18:53:00,2024-12-24 19:16:00,2024-12-24,Córdoba,0:22:32,1.05,,108,166,,119
david,Outdoor Cycle,cycling_outside,2024-08-17 21:15:00,2024-08-17 22:04:00,2024-08-17,Córdoba,0:49:43,13.32,16.0,372,493,31,127
david,Outdoor Cycle,cycling_outside,2024-08-14 21:20:00,2024-08-14 21:40:00,2024-08-14,Córdoba,0:20:04,2.89,8.6,46,87,,126
david,Outdoor Cycle,cycling_outside,2024-08-13 21:22:00,2024-08-13 22:40:00,2024-08-13,Córdoba,0:55:51,14.57,15.6,422,558,33,128
david,Outdoor Cycle,cycling_outside,2024-08-12 21:36:00,2024-08-12 22:38:00,2024-08-12,Córdoba,1:01:50,14.80,14.3,364,515,22,121
david,Outdoor Cycle,cycling_outside,2024-08-11 21:21:00,2024-08-11 22:23:00,2024-08-11,Córdoba,1:01:32,15.68,15.2,427,577,34,126
david,Outdoor Cycle,cycling_outside,2024-08-08 21:15:00,2024-08-08 22:11:00,2024-08-08,Córdoba,0:56:31,13.23,14.0,344,478,31,124
